acc_x,acc_y,acc_z,label
-0.08308411,1.4741974,0.07067585,0
-0.1010437,1.4023743,0.09461689,0
0.042617798,1.4861755,-0.117266655,0
-0.08547974,1.4311066,-0.17831707,0
0.007904053,1.4658203,-0.21423626,0
-0.056747437,1.4263153,0.071881294,0
0.10964966,1.5220947,0.122159004,0
0.037826538,1.5208893,0.11617756,0
0.06655884,1.5568085,-0.1232481,0
0.023452759,1.4873657,-0.20823956,0
0.0043029785,1.5448303,-0.31717205,0
-0.09265137,1.5376587,-0.013110161,0
-0.12258911,1.4849854,0.1341219,0
0.012680054,1.5412445,0.082654,0
0.11923218,1.555603,-0.07297039,0
0.18746948,1.5496216,-0.13522625,0
0.09408569,1.4670258,-0.16873455,0
0.09768677,1.4945526,-0.07536602,0
-0.022033691,1.4347076,0.064694405,0
0.07733154,1.4945526,0.012021065,0
-0.04118347,1.6082764,-0.05382061,0
0.058181763,1.500534,-0.26211834,0
-0.061538696,1.5196991,0.04913044,0
0.21260071,1.6310272,0.074276924,0
0.042617798,1.5436401,0.19279194,0
0.07852173,1.4813843,-0.38540936,0
0.0066986084,1.3568878,-0.30520916,0
0.040222168,1.4466705,-0.15556622,0
-0.17765808,1.4993439,0.38073444,0
-0.35482788,1.5939178,-0.009524345,0
0.12042236,1.5256805,-0.41174603,0
0.51068115,1.5627899,-0.18669415,0
0.36582947,1.5747681,0.16645527,0
0.12879944,1.4825897,0.114972115,0
0.05937195,1.4191437,-0.023882866,0
-0.019638062,1.432312,-0.050219536,0
-0.042373657,1.5627899,-0.04902935,0
-0.15132141,1.5603943,-0.13283062,0
0.031845093,1.547226,-0.27647686,0
0.08929443,1.4670258,-0.10409832,0
0.21499634,1.5484314,0.067090034,0
0.07852173,1.5196991,0.11378193,0
0.13240051,1.5615997,-0.15556622,0
-0.06272888,1.4490662,-0.045443535,0
-0.035202026,1.5496216,-0.05142498,0
-0.11540222,1.5436401,-0.10170269,0
0.08331299,1.5639801,-0.19746685,0
0.05697632,1.4406891,0.05631733,0
0.24731445,1.5771484,-0.016711235,0
0.14077759,1.5292664,0.014416695,0
0.13957214,1.4909668,-0.14239788,0
0.036621094,1.468216,-0.1232481,0
0.09648132,1.5855408,-0.059802055,0
-0.047164917,1.4837799,0.08744526,0
0.09887695,1.5244904,-0.14718914,0
0.10127258,1.4837799,-0.059802055,0
0.19584656,1.5292664,0.009625435,0
0.12162781,1.500534,-0.057406425,0
0.162323,1.5579987,-0.1519804,0
-0.022033691,1.4598389,0.013226509,0
0.048599243,1.5137024,-0.031069756,0
-0.0064697266,1.5208893,-0.16394329,0
0.042617798,1.5029297,-0.19027996,0
-0.049560547,1.4418793,-0.08732891,0
0.021072388,1.5627899,0.02279377,0
-4.8828125E-4,1.5460358,0.05152607,0
0.04978943,1.4861755,-0.07057476,0
0.09408569,1.5065308,-0.24774456,0
0.17549133,1.5795441,0.004834175,0
0.13719177,1.5963135,0.071881294,0
0.15394592,1.5424347,0.074276924,0
0.11802673,1.511322,-0.15077496,0
0.10366821,1.4514618,-0.07297039,0
0.08929443,1.5843353,-0.17473125,0
0.10725403,1.5568085,0.16166401,0
0.08691406,1.4861755,-0.12803936,0
0.017471313,1.3269653,-0.08494854,0
0.058181763,1.6370087,-0.3866148,0
0.05218506,1.7208099,0.1796236,0
0.12879944,1.8381195,0.076672554,0
0.09648132,1.5771484,0.28257465,0
0.15873718,1.6154633,-0.2788725,0
-4.8828125E-4,1.3892059,-0.050219536,0
0.040222168,1.5268707,-0.14360332,0
0.028244019,1.5208893,0.24067402,0
