acc_x,acc_y,acc_z,label
0.25091553,-0.10357666,-0.6763029,0
0.68066406,0.062820435,-2.0062895,0
0.50709534,0.15739441,-1.1395903,0
-0.20639038,0.098739624,1.0762453,0
-0.5679016,0.05444336,1.9417543,0
-0.4051056,0.031692505,1.0056124,0
-0.09265137,0.06642151,-0.42251873,0
0.25091553,0.12387085,-1.541812,0
0.22218323,0.13943481,-1.2054319,0
-0.051956177,0.16218567,0.2993288,0
-0.33447266,0.19210815,1.2474337,0
-0.2099762,0.15141296,0.5016298,0
0.055786133,-0.080825806,-0.7924223,0
-0.09146118,-0.15264893,-0.7660856,0
-0.39672852,-0.12272644,0.28495502,0
-0.723526,-0.25082397,0.8775301,0
-0.60980225,-0.33821106,0.57226276,0
-0.31292725,-0.32862854,-0.055010796,0
0.028244019,-0.26757812,-0.40097332,0
0.12162781,-0.29151917,-0.20584393,0
0.13719177,-0.19815063,0.34840107,0
0.11204529,-0.15983582,0.5890322,0
0.016281128,-0.15864563,0.19637775,0
-0.013656616,-0.15625,-0.33154583,0
-0.23750305,-0.13710022,-0.3650694,0
-0.36320496,-0.097595215,0.0539217,0
-0.46495056,-0.071258545,0.3783388,0
-0.28659058,-0.044921875,0.2777834,0
0.06535339,-0.09159851,-0.107684135,0
0.26527405,0.07119751,-0.24895,0
0.34547424,0.21125793,-0.11128521,0
0.26408386,0.16098022,0.27657795,0
0.09408569,0.13345337,0.21194172,0
-0.23510742,0.12866211,-0.65596294,0
-0.25427246,-0.15744019,-0.93368816,0
-0.52601624,-0.21131897,0.067090034,0
-0.763031,-0.02217102,0.9361849,0
-0.34883118,-0.025756836,0.6213503,0
0.16711426,-0.2137146,-0.1807127,0
0.64715576,-0.3513794,-0.25134563,0
0.40174866,-0.32025146,-0.05142498,0
-0.10702515,-0.26637268,-0.0322752,0
-0.67803955,-0.15983582,0.13532734,0
-0.84085083,0.04008484,0.04913044,0
-0.7798004,0.013748169,-0.06817913,0
-0.7295227,-0.2831421,0.17602253,0
-0.5547333,-0.17060852,0.23588276,0
-0.40750122,0.02331543,0.27657795,0
-0.13934326,0.21965027,0.48008442,0
0.09408569,0.5153198,0.42501545,0
0.07972717,0.57159424,-0.19507122,0
-0.114212036,0.7978363,-0.48596478,0
-0.3907318,0.99057007,-0.14479351,0
-0.53678894,1.5568085,0.2526369,0
-0.7271271,1.8261566,0.06828022,0
-0.8097229,2.0763397,-0.21782207,0
-1.0228119,2.309784,-0.40695477,0
-1.3388367,2.192459,-0.3866148,0
-1.5207977,2.089508,-0.18908978,0
-1.5279846,1.9338989,-0.062197685,0
-1.3855286,1.4454803,-0.2274046,0
-1.3172913,0.89001465,-0.17233562,0
-1.1149902,0.42674255,0.13172626,0
-0.842041,-0.066467285,-0.047839165,0
-0.8588104,-0.34179688,-0.08255291,0
-0.7019806,-0.42080688,0.24546528,0
-0.49009705,-0.5512848,0.38432026,0
-0.15730286,-0.6470642,0.03716755,0
